1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
28C05I,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05J,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), CLEAR EVIDENCE (<4.5HRS)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05K,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), CLEAR EVIDENCE (>4.5HRS)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05L,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), <4.5HRS SINCE SYMPTOMS STARTED","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05M,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05U,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), UNKN WHEN SYMPTOMS STARTED","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05X,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), NO TEST EVIDENCE (<4.5HRS)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05Y,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), NO TEST EVIDENCE (>4.5HRS)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C05Z,STROKE|ALS1,ALS1,1E+1M,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN PARALYSIS OR FACIAL DROOP (ONE SIDE), NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
28C06C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C06Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN LOSS OF BALANCE OR COORDINATION, NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C07Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN VISION PROBLEMS, NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C08Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), SUDDEN ONSET OF SEVERE HEADACHE, NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C09Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), STROKE HX, NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C10Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), TIA (MINI-STROKE) HX, NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11F,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), STRONG EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11G,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), >4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11H,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11I,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), STRONG EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11J,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), CLEAR EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11K,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), CLEAR EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11L,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), <4.5HRS SINCE SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11M,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), CLEAR EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11U,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), UNKN WHEN SYMPTOMS STARTED","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11X,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), NO TEST EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11Y,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), NO TEST EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C11Z,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), BREATHING NORMALLY (>=35), NO TEST EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C12C,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), UNKN STATUS/OTHER CODES NOT APPLICABLE, PARTIAL EVIDENCE (<4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C12D,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), UNKN STATUS/OTHER CODES NOT APPLICABLE, PARTIAL EVIDENCE (>4.5HRS)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
28C12E,STROKE|BLS,BLSU9,1A,"STROKE (CVA)/TRANSIENT ISCHEMIC ATTACK (TIA), UNKN STATUS/OTHER CODES NOT APPLICABLE, PARTIAL EVIDENCE (UNKN TIME FRAME)","STROKE, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
