,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
BLSU9,BACKPAIN|BLS,BLSU9,"BACK PAIN, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
BLSR,BACKPAIN|ROUTINE,BLSR,"BACK PAIN, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
WTRALS2,BOATCRASH,WTRALS2,BOAT CRASH,1,,,1,,,,,,,,,,,,4,,,,1,,
WTRALS1,BOATEMER,WTRALS1,WATERCRAFT IN DISTRESS,1,,,1,,,,,,,,,,,,6,1,1,,1,,
NOTIFFMO,BOMBTHREAT,NOTIFFMO,BOMB THREAT,,,,,,,,,,,,,,,,,,,,,,
BOX,BOX TRANSMISSION,BOX,ALL WILDLAND,2,2,,,,,,,,,,,,,,,,,,1,,
SE,BROKEN OUTSIDE GAS SERVICE,SE,BROKEN OUTSIDE GAS SERVICE,1,,,,,,,,,,,,,,,,,,,,,
FC,BROKEN OUTSIDE GAS SERVICE|BLS,FC,"BROKEN OUTSIDE GAS SERVICE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FX,BROKEN OUTSIDE GAS SERVICE|MULT,FX,BROKEN OUTSIDE GAS SERVICE WITH MULTIPLE PATIENTS,1,,,1,1,1,,,,,,,,,,,,,,,,
FDALS1,BURN|ADAPT|ALS1,FDALS1,"BURN, ADAPTIVE RESPONSE, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,,
ADA,BURN|ADAPT|ALS2,ADA,"ADAPTIVE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
AL1D,BURN|ALS1,AL1D,"BURN, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,BURN|ALS2,AL2D,"BURN, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,BURN|BLS,BLSU9,"BURN, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,BURN|CPR,AL2D,"BURN WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
FALS1FMO,BURN|FMO|ALS1,FALS1FMO,"BURN WITH F-M-O RESPONSE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,1,
FCFMO,BURN|FMO|BLS,FCFMO,"BURN WITH F-M-O RESPONSE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,1,
HMADAPTALS2,BURN|HM|ALS2,HMADAPTALS2,"BURN WITH HAZ MAT, A-L-S TWO",2,1,,2,,1,,,,,,,,1,,,,,,1,,
FDMULTP,BURN|MULT,FDMULTP,"BURN WITH MULTIPLE PATIENTS, A-L-S TWO",2,1,,1,1,,,,,,,,,,,,,,,,,
BLSU9,BURN|ROUTINE,BLSU9,"BURN, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
FC,BURNE|BLS,FC,"BURNE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FDALS1,BURNFD|ALS1,FDALS1,"BURN, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,,
CAVE,CAVE,CAVE,CAVE/ABANDONED MINE RESCUE,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVE1,CAVE|ALS1,CAVE1,"CAVE/ABANDONED MINE RESCUE, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVE2,CAVE|ALS2,CAVE2,"CAVE/ABANDONED MINE RESCUE, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEB,CAVE|BLS,CAVEB,"CAVE/ABANDONED MINE RESCUE, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEI,CAVE|INVEST,CAVEI,CAVE/ABANDONED MINE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,,,,,,,
CAVEM,CAVE|MULT,CAVEM,CAVE/ABANDONED MINE RESCUE WITH MULTIPLE PATIENTS,1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVER,CAVE|ROUTINE,CAVER,"CAVE/ABANDONED MINE RESCUE, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEW,CAVE|WTR,CAVEW,"CAVE/ABANDONED MINE RESCUE, RISING WATER",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEW1,CAVE|WTR|ALS1,CAVEW1,"CAVE/ABANDONED MINE RESCUE, RISING WATER, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEW2,CAVE|WTR|ALS2,CAVEW2,"CAVE/ABANDONED MINE RESCUE, RISING WATER, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEWB,CAVE|WTR|BLS,CAVEWB,"CAVE/ABANDONED MINE RESCUE, RISING WATER, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEWI,CAVE|WTR|INVEST,CAVEWI,CAVE/ABANDONED MINE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,1,,,,1,,
CAVEWM,CAVE|WTR|MULT,CAVEWM,"CAVE/ABANDONED MINE RESCUE, RISING WATER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEWR,CAVE|WTR|ROUTINE,CAVEWR,"CAVE/ABANDONED MINE RESCUE, RISING WATER, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
CAVEX,CAVE|WX,CAVEX,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEX1,CAVE|WX|ALS1,CAVEX1,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEX2,CAVE|WX|ALS2,CAVEX2,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEXB,CAVE|WX|BLS,CAVEXB,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEXI,CAVE|WX|INVEST,CAVEXI,CAVE/ABANDONED MINE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,,,,,1,,
CAVEXM,CAVE|WX|MULT,CAVEXM,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
CAVEXR,CAVE|WX|ROUTINE,CAVEXR,"CAVE/ABANDONED MINE RESCUE, INCLEMENT WEATHER, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
SE,CHECK WELFARE,SE,WELFARE CHECK,1,,,,,,,,,,,,,,,,,,,,,
ALS1,CHESTPAIN|ALS1,ALS1,"CHEST PAIN, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ALS2,CHESTPAIN|ALS2,ALS2,"CHEST PAIN, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,CHESTPAIN|BLS,BLSU9,"CHEST PAIN, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
ALS1,CHOKING|ALS1,ALS1,"CHOKING, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ALS2,CHOKING|ALS2,ALS2,"CHOKING, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,CHOKING|BLS,BLSU9,"CHOKING, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,CHOKING|CPR,AL2D,"CHOKING WITH COMPLETE OBSTRUCTION, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ALS1,COLD|ALS1,ALS1,"COLD EXPOSURE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
BLSU9,COLD|BLS,BLSU9,"COLD EXPOSURE, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
MLTP,COLD|MULT,MLTP,COLD WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
BLSR,COLD|ROUTINE,BLSR,"COLD EXPOSURE, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
RES,COLLAPSE|RESQ,RES,COLLAPSE,1,1,1,1,,,,,,,,,,,1,,,,,1,,
TECHWTR,COLLAPSE|RESQ|WATER,TECHWTR,COLLAPSE INVOLVING WATER,1,1,1,1,,,,,,,,,,,1,2,,,,1,,
RES,CONFINEDSPACE|RESQ,RES,CONFINED SPACE RESCUE,1,1,1,1,,,,,,,,,,,1,,,,,1,,
ALS2,CPR|ALS2,ALS2,"C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
HMADAPTALS2,CPRHM|ALS2,HMADAPTALS2,"HAZ MAT WITH C-P-R, A-L-S TWO",2,1,,2,,1,,,,,,,,1,,,,,,1,,
AL2D,CPRSHOT|ALS2,AL2D,"SHOOTING WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,CPRSTAB|ALS2,AL2D,"STABBING WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,CPRTRAUMA|ALS2,AL2D,"TRAUMA WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ALS1,DECLOC|ALS1,ALS1,"DECREASED LEVEL OF CONSCIOUSNESS, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ALS1,DIABETIC|ALS1,ALS1,"DIABETIC, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
BLSU9,DIABETIC|BLS,BLSU9,"DIABETIC, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL1D,DIABETIC|w/PD|ALS1,AL1D,"DIABETIC WITH POLICE, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|CRITICALINFRA,NORESPONSE,"DISASTER, CRITICAL INFRASTRUCTURE",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|DANGER,NORESPONSE,"DISASTER, PERSON IN DANGER",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|INFRA,NORESPONSE,"DISASTER, INFRASTRUCTURE",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|MCI,NORESPONSE,"DISASTER, MASS CASUALTY INCIDENT",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|MEDICAL,NORESPONSE,"DISASTER, MEDICAL EMERGENCY",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|REFERRAL,NORESPONSE,"DISASTER, REFERRAL",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|SVC,NORESPONSE,"DISASTER, SERVICE CALL",,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|TRAP,NORESPONSE,DISASTER WITH ENTRAPMENT,,,,,,,,,,,,,,,,,,,,,,
NORESPONSE,DISASTER|UTILITY,NORESPONSE,"DISASTER, UTILITY",,,,,,,,,,,,,,,,,,,,,,
SCLA,DOA|BLS,SCLA,"D-O-A, B-L-S",1,,,,,,,,,,,,,,,,,,,,,
AL1D,DROWN|ALS1,AL1D,"DROWNING, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
PAALS2,DROWN|ALS2,PAALS2,"DROWNING, A-L-S TWO",2,,1,1,,1,,,,,,,,,,,,,,,,
BLSU9,DROWN|BLS,BLSU9,"DROWNING, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,DROWN|CPR,AL2D,"DROWNING WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECAR,ELEC|ARC,ELECAR,ELECTRICAL ARCING,1,,,,,,,,,,,,,,,,,,,,,
ELECAR1,ELEC|ARC|ALS1,ELECAR1,"ELECTRICAL ARCING, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECAR2,ELEC|ARC|ALS2,ELECAR2,"ELECTRICAL ARCING, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECARB,ELEC|ARC|BLS,ELECARB,"ELECTRICAL ARCING, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECARM,ELEC|ARC|MULT,ELECARM,ELECTRICAL ARCING WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
ELECARR,ELEC|ARC|ROUTINE,ELECARR,"ELECTRICAL ARCING, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECARR1,ELEC|ARC|ROUTINE|ALS1,ELECARR1,"ELECTRICAL ARCING, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECARR2,ELEC|ARC|ROUTINE|ALS2,ELECARR2,"ELECTRICAL ARCING, ROUTINE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECARRB,ELEC|ARC|ROUTINE|BLS,ELECARRB,"ELECTRICAL ARCING, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECARRM,ELEC|ARC|ROUTINE|MULT,ELECARRM,"ELECTRICAL ARCING, ROUTINE WITH MULTIPLE PATIENTS",2,,,1,1,,,,,,,,,,,,,,,,,
FE,ELEC|DistSta,FE,"ELECTRICAL HAZARD, DISTRIBUTION STATION, ",2,1,,,,,,,,,,,,,,,,,,,,
FF,ELEC|DistSta|BLS,FF,"ELECTRICAL HAZARD, DISTRIBUTION STATION, , B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,ELEC|DistSta|MULT,FDMULTP,"ELECTRICAL HAZARD, DISTRIBUTION STATION, WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
ELEC,ELEC|HAZ,ELEC,ELECTRICAL HAZARD,1,,,,,,,,,,,,,,,,,,,,,
ELEC1,ELEC|HAZ|ALS1,ELEC1,"ELECTRICAL HAZARD, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELEC2,ELEC|HAZ|ALS2,ELEC2,"ELECTRICAL HAZARD, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECB,ELEC|HAZ|BLS,ELECB,"ELECTRICAL HAZARD, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECM,ELEC|HAZ|MULT,ELECM,ELECTRICAL HAZARD WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
ELECR,ELEC|HAZ|ROUTINE,ELECR,"ELECTRICAL HAZARD, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECR1,ELEC|HAZ|ROUTINE|ALS1,ELECR1,"ELECTRICAL HAZARD, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECR2,ELEC|HAZ|ROUTINE|ALS2,ELECR2,"ELECTRICAL HAZARD, ROUTINE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECRB,ELEC|HAZ|ROUTINE|BLS,ELECRB,"ELECTRICAL HAZARD, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECRM,ELEC|HAZ|ROUTINE|MULT,ELECRM,"ELECTRICAL HAZARD, ROUTINE WITH MULTIPLE PATIENTS",2,,,1,1,,,,,,,,,,,,,,,,,
ELECW,ELEC|HAZ|WATER,ELECW,ELECTRICAL HAZARD INVOLVING WATER,1,,,,,,,,,,,,,,,,,,,,,
ELECW1,ELEC|HAZ|WATER|ALS1,ELECW1,"ELECTRICAL HAZARD INVOLVING WATER, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECW2,ELEC|HAZ|WATER|ALS2,ELECW2,"ELECTRICAL HAZARD INVOLVING WATER, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECWB,ELEC|HAZ|WATER|BLS,ELECWB,"ELECTRICAL HAZARD INVOLVING WATER, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECWM,ELEC|HAZ|WATER|MULT,ELECWM,ELECTRICAL HAZARD INVOLVING WATER WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
ELECWR,ELEC|HAZ|WATER|ROUTINE,ELECWR,"ELECTRICAL HAZARD INVOLVING WATER, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECWR1,ELEC|HAZ|WATER|ROUTINE|ALS1,ELECWR1,"ELECTRICAL HAZARD INVOLVING WATER, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECWR2,ELEC|HAZ|WATER|ROUTINE|ALS2,ELECWR2,"ELECTRICAL HAZARD INVOLVING WATER, ROUTINE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECWRB,ELEC|HAZ|WATER|ROUTINE|BLS,ELECWRB,"ELECTRICAL HAZARD INVOLVING WATER, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECWRM,ELEC|HAZ|WATER|ROUTINE|MULT,ELECWRM,"ELECTRICAL HAZARD INVOLVING WATER, ROUTINE WITH MULTIPLE PATIENTS",2,,,1,1,,,,,,,,,,,,,,,,,
ELECI,ELEC|INVEST,ELECI,ELECTRICAL PROBLEM/INVESTIGATION,1,,,,,,,,,,,,,,,,,,,,,
ELECI1,ELEC|INVEST|ALS1,ELECI1,"ELECTRICAL PROBLEM/INVESTIGATION, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECI2,ELEC|INVEST|ALS2,ELECI2,"ELECTRICAL PROBLEM/INVESTIGATION, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECIB,ELEC|INVEST|BLS,ELECIB,"ELECTRICAL PROBLEM/INVESTIGATION, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECIM,ELEC|INVEST|MULT,ELECIM,ELECTRICAL PROBLEM/INVESTIGATION WITH MULTIPLE PATIENTS,1,,,1,1,,,,,,,,,,,,,,,,,
ELECIR,ELEC|INVEST|ROUTINE,ELECIR,"ELECTRICAL PROBLEM/INVESTIGATION, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECIR1,ELEC|INVEST|ROUTINE|ALS1,ELECIR1,"ELECTRICAL PROBLEM/INVESTIGATION, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECIR2,ELEC|INVEST|ROUTINE|ALS2,ELECIR2,"ELECTRICAL PROBLEM/INVESTIGATION, ROUTINE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
ELECIRB,ELEC|INVEST|ROUTINE|BLS,ELECIRB,"ELECTRICAL PROBLEM/INVESTIGATION, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECIRM,ELEC|INVEST|ROUTINE|MULT,ELECIRM,"ELECTRICAL PROBLEM/INVESTIGATION, ROUTINE WITH MULTIPLE PATIENTS",1,,,1,1,,,,,,,,,,,,,,,,,
ELECO,ELEC|ODOR,ELECO,ELECTRICAL ODOR OF SMOKE,2,1,,,,,,,,,,,,,,,,,,,,
ELECO1,ELEC|ODOR|ALS1,ELECO1,"ELECTRICAL ODOR OF SMOKE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
ELECO2,ELEC|ODOR|ALS2,ELECO2,"ELECTRICAL ODOR OF SMOKE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
ELECOB,ELEC|ODOR|BLS,ELECOB,"ELECTRICAL ODOR OF SMOKE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
ELECOM,ELEC|ODOR|MULT,ELECOM,ELECTRICAL ODOR OF SMOKE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
ELECOR,ELEC|ODOR|ROUTINE,ELECOR,"ELECTRICAL ODOR OF SMOKE, ROUTINE",2,1,,,,,,,,,,,,,,,,,,,,
SE,ELEC|ODOR|ROUTINE,SE,"ELECTRICAL ODOR, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECOR1,ELEC|ODOR|ROUTINE|ALS1,ELECOR1,"ELECTRICAL ODOR OF SMOKE, ROUTINE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
ELECOR2,ELEC|ODOR|ROUTINE|ALS2,ELECOR2,"ELECTRICAL ODOR OF SMOKE, ROUTINE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
ELECORB,ELEC|ODOR|ROUTINE|BLS,ELECORB,"ELECTRICAL ODOR OF SMOKE, ROUTINE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
ELECORM,ELEC|ODOR|ROUTINE|MULT,ELECORM,"ELECTRICAL ODOR OF SMOKE, ROUTINE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
FE,ELEC|SOLARFARM,FE,"ELECTRICAL HAZARD, SOLAR FARM, ",2,1,,,,,,,,,,,,,,,,,,,,
FF,ELEC|SOLARFARM|BLS,FF,"ELECTRICAL HAZARD, SOLAR FARM, , B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,ELEC|SOLARFARM|MULT,FDMULTP,"ELECTRICAL HAZARD, SOLAR FARM, WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
SUBS,ELEC|SUBS,SUBS,ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION,1,,,,,,,,,,,,,,,,,,,,,
SUBS1,ELEC|SUBS|ALS1,SUBS1,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
SUBS2,ELEC|SUBS|ALS2,SUBS2,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, A-L-S TWO",1,1,,1,,1,,,,,,,,,,,,,,,,
SUBSB,ELEC|SUBS|BLS,SUBSB,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
SUBSM,ELEC|SUBS|MULT,SUBSM,ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SUBSR,ELEC|SUBS|ROUTINE,SUBSR,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
SUBSR1,ELEC|SUBS|ROUTINE|ALS1,SUBSR1,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
SUBSR2,ELEC|SUBS|ROUTINE|ALS2,SUBSR2,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, ROUTINE, A-L-S TWO",1,1,,1,,1,,,,,,,,,,,,,,,,
SUBSRB,ELEC|SUBS|ROUTINE|BLS,SUBSRB,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
SUBSRM,ELEC|SUBS|ROUTINE|MULT,SUBSRM,"ELECTRICAL PROBLEM AT A SUBSTATION/DISTRIBUTION STATION, ROUTINE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
ELECU,ELEC|UNDER,ELECU,UNDERGROUND ELECTRICAL PROBLEM,1,,,,,,,,,,,,,,,,,,,,,
ELECU1,ELEC|UNDER|ALS1,ELECU1,"UNDERGROUND ELECTRICAL PROBLEM, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECU2,ELEC|UNDER|ALS2,ELECU2,"UNDERGROUND ELECTRICAL PROBLEM, A-L-S TWO",1,1,,1,,1,,,,,,,,,,,,,,,,
ELECUB,ELEC|UNDER|BLS,ELECUB,"UNDERGROUND ELECTRICAL PROBLEM, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECUM,ELEC|UNDER|MULT,ELECUM,UNDERGROUND ELECTRICAL PROBLEM WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
ELECUR,ELEC|UNDER|ROUTINE,ELECUR,"UNDERGROUND ELECTRICAL PROBLEM, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
ELECUR1,ELEC|UNDER|ROUTINE|ALS1,ELECUR1,"UNDERGROUND ELECTRICAL PROBLEM, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ELECUR2,ELEC|UNDER|ROUTINE|ALS2,ELECUR2,"UNDERGROUND ELECTRICAL PROBLEM, ROUTINE, A-L-S TWO",1,1,,1,,1,,,,,,,,,,,,,,,,
ELECURB,ELEC|UNDER|ROUTINE|BLS,ELECURB,"UNDERGROUND ELECTRICAL PROBLEM, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
ELECURM,ELEC|UNDER|ROUTINE|MULT,ELECURM,"UNDERGROUND ELECTRICAL PROBLEM, ROUTINE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
FE,ELEC|UNDERGROUND,FE,"ELECTRICAL HAZARD, UNDERGROUND, ",2,1,,,,,,,,,,,,,,,,,,,,
FF,ELEC|UNDERGROUND|BLS,FF,"ELECTRICAL HAZARD, UNDERGROUND, , B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,ELEC|UNDERGROUND|MULT,FDMULTP,"ELECTRICAL HAZARD, UNDERGROUND, WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
FE,ELECHAZ,FE,ELECTRICAL HAZARD,2,1,,,,,,,,,,,,,,,,,,,,
AL1D,ELECHAZ|ALS1,AL1D,"ELECTRICAL HAZARD, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
FF,ELECHAZ|BLS,FF,"ELECTRICAL HAZARD, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,ELECHAZ|MULT,FDMULTP,ELECTRICAL HAZARD WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SE,ELECHAZ|SVC,SE,"SERVICE CALL, ELECTRICAL HAZARD",1,,,,,,,,,,,,,,,,,,,,,
FC,ELECHAZ|SVC|BLS,FC,"SERVICE CALL, ELECTRICAL HAZARD, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FE,ELECODOR,FE,ELECTRICAL ODOR,2,1,,,,,,,,,,,,,,,,,,,,
FF,ELECODOR|BLS,FF,"ELECTRICAL ODOR, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,ELECODOR|MULT,FDMULTP,ELECTRICAL ODOR WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
AL1D,ELECTROCUTION|ALS1,AL1D,"ELECTROCUTION, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,ELECTROCUTION|ALS2,AL2D,"ELECTROCUTION, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,ELECTROCUTION|CPR,AL2D,"ELECTROCUTION WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
MLTP,ELECTROCUTION|MULT,MLTP,ELECTROCUTION WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
FE,ElevatedStructureFire,FE,ELEVATED STRUCTURE FIRE,2,1,,,,,,,,,,,,,,,,,,,,
